date,close,gain,loss,avg_gain,avg_loss,rsi
119,1442.24,120.87,0,48.01,31.05,60.72
120,1462.03,19.79,0,45.99,28.84,61.46
121,1569.8,107.77,0,50.41,26.78,65.31
122,1620.86,51.06,0,50.45,24.86,66.99
123,1647.72,26.86,0,48.77,23.09,67.87
124,1515.76,0,131.96,45.28,30.86,59.47
125,1512.99,0,2.77,42.05,28.86,59.3
126,1403.19,0,109.81,39.05,34.64,52.99
127,1760.2,357.02,0,61.76,32.17,65.75
128,1849.11,88.91,0,63.7,29.87,68.08
129,1805.48,0,43.64,59.15,30.85,65.72
130,2095.36,289.88,0,75.63,28.65,72.53
131,2215.94,120.59,0,78.84,26.6,74.77
132,2229.8,13.86,0,74.2,24.7,75.02
133,2329.13,99.33,0,75.99,22.94,76.81
134,1992.27,0,336.86,70.57,45.36,60.87
135,2122.19,129.92,0,74.8,42.12,63.98
136,2198.91,76.72,0,74.94,39.11,65.71
137,2211.61,12.7,0,70.5,36.32,66.0
138,2398.95,187.33,0,78.84,33.72,70.04
139,2607.86,208.91,0,88.13,31.32,73.78
140,2770.99,163.13,0,93.49,29.08,76.28
141,2751.47,0,19.52,86.81,28.4,75.35
142,3556.32,804.86,0,138.1,26.37,83.97
143,3520.57,0,35.75,128.24,27.04,82.59
144,3680.11,159.54,0,130.47,25.11,83.86
145,4300.68,620.57,0,165.48,23.31,87.65
146,3604.41,0,696.27,153.66,71.38,68.28
147,3008.82,0,595.58,142.68,108.82,56.73
148,3111.59,102.77,0,139.83,101.05,58.05
149,3144.78,33.18,0,132.21,93.83,58.49
150,3270.22,125.45,0,131.73,87.13,60.19
151,2984.14,0,286.08,122.32,101.34,54.69
152,2421.41,0,562.74,113.58,134.3,45.82
153,2577.24,155.83,0,116.6,124.71,48.32
154,2311.48,0,265.77,108.27,134.78,44.55
155,2291.99,0,19.49,100.54,126.55,44.27
156,2145.51,0,146.48,93.36,127.97,42.18
157,2185.06,39.55,0,89.52,118.83,42.97
158,2322.08,137.02,0,92.91,110.34,45.71
159,2083.59,0,238.49,86.27,119.5,41.93
160,2199.73,116.14,0,88.41,110.96,44.34
161,2133.97,0,65.76,82.09,107.73,43.25
162,2077.71,0,56.26,76.23,104.05,42.28
163,1899.79,0,177.92,70.78,109.33,39.3
164,1909.7,9.91,0,66.43,101.52,39.55
165,1807.83,0,101.88,61.69,101.55,37.79
166,1798.55,0,9.28,57.28,94.96,37.63
167,1866.41,67.86,0,58.04,88.17,39.69
168,1716.07,0,150.34,53.89,92.61,36.79
169,2108.66,392.59,0,78.09,86.0,47.59
170,1883.09,0,225.57,72.51,95.97,43.04
171,2038.86,155.77,0,78.46,89.11,46.82
172,2018.83,0,20.02,72.85,84.18,46.39
173,1929.59,0,89.24,67.65,84.54,44.45
174,1870.14,0,59.45,62.82,82.75,43.15
175,1864.37,0,5.77,58.33,77.25,43.02
176,1850.61,0,13.76,54.16,72.71,42.69
177,1823.94,0,26.68,50.29,69.43,42.01
178,1769.32,0,54.62,46.7,68.37,40.59
179,1850.4,81.09,0,49.16,63.48,43.64
180,1966.48,116.07,0,53.94,58.95,47.78
181,1713.27,0,253.21,50.08,72.83,40.75
182,1807.02,93.75,0,53.2,67.62,44.03
183,1885.0,77.98,0,54.97,62.79,46.68
184,1909.38,24.39,0,52.79,58.31,47.52
185,2128.58,219.2,0,64.67,54.14,54.43
186,2172.31,43.73,0,63.18,50.28,55.69
187,2007.49,0,164.83,58.67,58.46,50.09
188,1994.73,0,12.75,54.48,55.19,49.67
189,2091.96,97.23,0,57.53,51.25,52.89
190,2204.07,112.11,0,61.43,47.59,56.35
191,2386.11,182.04,0,70.04,44.19,61.32
192,2378.72,0,7.39,65.04,41.56,61.01
193,2511.66,132.94,0,69.89,38.59,64.42
194,2490.51,0,21.14,64.9,37.35,63.47
195,2809.45,318.93,0,83.04,34.68,70.54
196,3159.78,350.33,0,102.14,32.2,76.03
197,3283.94,124.16,0,103.71,29.9,77.62
198,3271.33,0,12.61,96.3,28.67,77.06
199,3461.19,189.86,0,102.98,26.62,79.46
200,3270.83,0,190.36,95.63,38.32,71.39
201,3560.48,289.65,0,109.49,35.58,75.47
202,4003.58,443.1,0,133.32,33.04,80.14
203,3675.28,0,328.31,123.79,54.13,69.58
204,3784.86,109.58,0,122.78,50.26,70.95
205,3707.76,0,77.09,114.01,52.18,68.6
206,3675.92,0,31.84,105.86,50.73,67.61
207,3388.82,0,287.1,98.3,67.61,59.25
208,3218.13,0,170.69,91.28,74.97,54.9
209,3521.23,303.1,0,106.41,69.62,60.45
210,3294.31,0,226.92,98.81,80.85,55.0
211,3604.68,310.37,0,113.92,75.08,60.28
212,4063.61,458.93,0,138.57,69.72,66.53
213,4272.33,208.72,0,143.58,64.74,68.92
214,4234.65,0,37.68,133.32,62.8,67.98
215,5195.94,961.29,0,192.46,58.32,76.75
216,4623.52,0,572.42,178.71,95.04,65.28
217,4685.04,61.52,0,170.34,88.25,65.87
218,4438.17,0,246.87,158.18,99.58,61.37
219,4263.29,0,174.88,146.88,104.96,58.32
220,4660.63,397.33,0,164.77,97.46,62.83
221,5061.79,401.16,0,181.65,90.5,66.75
222,4876.51,0,185.28,168.68,97.27,63.43
223,4900.32,23.81,0,158.33,90.32,63.68
224,4311.82,0,588.49,147.02,125.91,53.87
225,4326.7,14.87,0,137.58,116.91,54.06
226,4521.48,194.78,0,141.67,108.56,56.62
227,5580.25,1058.78,0,207.18,100.81,67.27
228,5367.46,0,212.8,192.38,108.81,63.87
229,5552.68,185.22,0,191.87,101.03,65.51
230,5738.24,185.56,0,191.42,93.82,67.11
231,6269.33,531.1,0,215.68,87.12,71.23
232,6312.92,43.59,0,203.39,80.89,71.54
233,6613.78,300.86,0,210.35,75.12,73.69
234,6282.39,0,331.39,195.32,93.42,67.65
235,5085.77,0,1196.62,181.37,172.22,51.29
236,5141.17,55.4,0,172.37,159.92,51.87
237,4809.31,0,331.86,160.06,172.2,48.17
238,5044.81,235.49,0,165.45,159.9,50.85
239,5100.68,55.87,0,157.62,148.48,51.49
240,5453.97,353.29,0,171.6,137.87,55.45
241,5190.53,0,263.44,159.34,146.84,52.04
242,4935.96,0,254.56,147.96,154.54,48.91
243,4948.4,12.44,0,138.28,143.5,49.07
244,4999.33,50.93,0,132.04,133.25,49.77
245,5615.28,615.96,0,166.61,123.73,57.38
246,5690.89,75.6,0,160.11,114.89,58.22
247,5820.13,129.24,0,157.9,106.69,59.68
248,6018.57,198.43,0,160.8,99.07,61.88
249,6264.96,246.39,0,166.91,91.99,64.47
250,6168.84,0,96.12,154.99,92.28,62.68
251,5648.38,0,520.45,143.92,122.87,53.94
252,5063.22,0,585.16,133.64,155.89,46.16
253,5269.51,206.29,0,138.83,144.75,48.95
254,5476.33,206.83,0,143.68,134.41,51.67
255,5788.56,312.22,0,155.72,124.81,55.51
256,5708.06,0,80.49,144.6,121.65,54.31
257,6332.13,624.06,0,178.85,112.96,61.29
258,6794.54,462.42,0,199.1,104.89,65.5
259,6538.84,0,255.7,184.88,115.66,61.52
260,5445.07,0,1093.77,171.67,185.53,48.06
261,5378.04,0,67.03,159.41,177.06,47.38
262,5281.06,0,96.98,148.03,171.34,46.35
263,5154.96,0,126.1,137.45,168.11,44.98
264,4529.32,0,625.64,127.63,200.79,38.86
265,4711.95,182.64,0,131.56,186.45,41.37
266,5136.68,424.73,0,152.5,173.13,46.83
267,5373.59,236.91,0,158.53,160.77,49.65
268,5040.4,0,333.19,147.21,173.08,45.96
269,5700.74,660.35,0,183.86,160.72,53.36
270,6587.68,886.94,0,234.08,149.24,61.07
271,6906.51,318.83,0,240.13,138.58,63.41
272,7670.07,763.56,0,277.52,128.68,68.32
273,7267.72,0,402.35,257.7,148.23,63.48
274,7636.08,368.36,0,265.6,137.64,65.87
275,6403.95,0,1232.13,246.63,215.82,53.33
276,6180.87,0,223.08,229.02,216.34,51.42
277,6351.86,171.0,0,224.87,200.88,52.82
278,6342.31,0,9.55,208.81,187.22,52.73
279,7231.68,889.36,0,257.42,173.85,59.69
280,7268.19,36.51,0,241.64,161.43,59.95
281,7943.47,675.28,0,272.61,149.9,64.52
282,7706.2,0,237.26,253.14,156.14,61.85
283,7227.18,0,479.02,235.06,179.2,56.74
284,8484.24,1257.06,0,308.06,166.4,64.93
285,8140.04,0,344.2,286.06,179.1,61.5
286,8176.93,36.89,0,268.26,166.31,61.73
287,7317.07,0,859.86,249.1,215.85,53.58
288,6669.67,0,647.4,231.3,246.67,48.39
289,6928.11,258.44,0,233.24,229.05,50.45
290,6794.64,0,133.47,216.58,222.23,49.36
291,6822.65,28.01,0,203.11,206.35,49.6
292,7112.19,289.54,0,209.29,191.61,52.2
293,7252.41,140.21,0,204.35,177.93,53.46
294,7478.54,226.14,0,205.91,165.22,55.48
295,8307.62,829.08,0,250.42,153.42,62.01
296,8456.83,149.21,0,243.19,142.46,63.06
297,8270.2,0,186.63,225.82,145.61,60.8
298,8658.82,388.62,0,237.45,135.21,63.72
299,8709.05,50.23,0,224.08,125.55,64.09
300,9293.84,584.8,0,249.84,116.59,68.18
301,9473.01,179.17,0,244.79,108.26,69.34
302,10803.07,1330.06,0,322.31,100.53,76.23
303,11075.04,271.98,0,318.72,93.35,77.35
304,10443.5,0,631.54,295.95,131.79,69.19
305,11308.13,864.63,0,336.57,122.37,73.34
306,10451.42,0,856.71,312.53,174.83,64.13
307,9861.39,0,590.03,290.21,204.48,58.66
308,9665.81,0,195.57,269.48,203.85,56.93
309,10563.12,897.31,0,314.32,189.29,62.41
310,9479.35,0,1083.77,291.87,253.18,53.55
311,9750.2,270.85,0,290.37,235.1,55.26
312,10306.45,556.25,0,309.36,218.3,58.63
313,9914.91,0,391.55,287.26,230.68,55.46
314,10161.94,247.03,0,284.39,214.2,57.04
315,9404.01,0,757.93,264.08,253.04,51.07
316,7943.82,0,1460.18,245.21,339.26,41.95
317,7370.67,0,573.15,227.7,355.97,39.01
318,7016.03,0,354.64,211.43,355.87,37.27
319,7442.4,426.37,0,226.79,330.45,40.7
320,7474.77,32.37,0,212.9,306.85,40.96
321,7661.5,186.73,0,211.03,284.93,42.55
322,7624.62,0,36.88,195.96,267.21,42.31
323,6939.01,0,685.62,181.96,297.1,37.98
324,7265.54,326.54,0,192.29,275.88,41.07
325,7697.34,431.8,0,209.4,256.17,44.98
326,7917.36,220.02,0,210.15,237.88,46.91
327,7862.91,0,54.45,195.14,224.77,46.47
328,8025.61,162.7,0,192.83,208.72,48.02
329,7832.28,0,193.33,179.05,207.62,46.31
330,8230.83,398.55,0,194.73,192.79,50.25
331,7842.67,0,388.17,180.82,206.74,46.66
332,6618.04,0,1224.63,167.91,279.45,37.53
333,6958.5,340.46,0,180.23,259.49,40.99
334,7066.88,108.38,0,175.1,240.95,42.09
335,6870.24,0,196.64,162.59,237.79,40.61
336,6549.17,0,321.07,150.98,243.74,38.25
337,5847.81,0,701.36,140.19,276.42,33.65
338,6233.91,386.1,0,157.76,256.68,38.07
339,6961.21,727.3,0,198.44,238.35,45.43
340,7155.94,194.73,0,198.18,221.32,47.24
341,6883.53,0,272.41,184.02,224.97,44.99
342,8045.43,1161.9,0,253.87,208.9,54.86
343,7299.01,0,746.41,235.73,247.29,48.8
344,7308.2,9.19,0,219.55,229.63,48.88
345,7227.58,0,80.62,203.87,218.99,48.21
346,7560.56,332.98,0,213.09,203.35,51.17
347,6916.93,0,643.63,197.87,234.79,45.73
348,6700.74,0,216.2,183.74,233.47,44.04
349,6727.55,26.81,0,172.53,216.79,44.32
350,6424.7,0,302.84,160.21,222.94,41.81
351,6597.24,172.54,0,161.09,207.01,43.76
352,6220.45,0,376.79,149.58,219.14,40.57
353,6669.45,449.0,0,170.97,203.49,45.66
354,6227.68,0,441.77,158.75,220.51,41.86
355,6253.08,25.4,0,149.23,204.76,42.16
356,6698.11,445.03,0,170.36,190.13,47.26
357,6293.02,0,405.09,158.19,205.48,43.5
358,6291.16,0,1.87,146.89,190.94,43.48
359,6093.28,0,197.88,136.4,191.44,41.61
360,6681.48,588.2,0,168.67,177.76,48.69
361,6357.97,0,323.5,156.62,188.17,45.42
362,6581.89,223.91,0,161.43,174.73,48.02
363,6993.88,412.0,0,179.33,162.25,52.5
364,7264.31,270.43,0,185.83,150.66,55.23
365,7677.56,413.25,0,202.08,139.9,59.09
366,7996.71,319.15,0,210.44,129.91,61.83
367,8567.25,570.54,0,236.16,120.63,66.19
368,8053.12,0,514.13,219.29,148.73,59.59
369,8509.15,456.03,0,236.2,138.11,63.1
370,7563.12,0,946.03,219.33,195.82,52.83
371,6994.45,0,568.67,203.66,222.45,47.8
372,7457.12,462.66,0,222.16,206.56,51.82
373,7290.07,0,167.05,206.3,203.74,50.31
374,7581.44,291.37,0,212.37,189.19,52.89
375,8142.03,560.59,0,237.24,175.67,57.46
376,7758.71,0,383.33,220.3,190.51,53.63
377,9735.87,1977.16,0,345.79,176.9,66.16
378,12219.38,2483.51,0,498.48,164.26,75.21
379,11061.41,0,1157.97,462.88,235.24,66.3
380,11952.83,891.41,0,493.49,218.44,69.32
381,13085.24,1132.41,0,539.13,202.84,72.66
382,15147.63,2062.39,0,647.93,188.35,77.48
383,17370.14,2222.52,0,760.4,174.89,81.3
384,16308.95,0,1061.19,706.09,238.2,74.77
385,16965.66,656.71,0,702.56,221.19,76.06
386,14232.97,0,2732.69,652.38,400.58,61.96
387,13936.11,0,296.86,605.78,393.17,60.64
388,13546.02,0,390.09,562.51,392.95,58.87
389,14074.7,528.68,0,560.09,364.88,60.55
390,15452.68,1377.98,0,618.51,338.82,64.61
