date,close,gain,loss,avg_gain,avg_loss,rsi
1,0.22537665242356383,0,0,0,0,0
2,0.189036422857878,0,0.03634022956568583,0,0,0
3,0.18122267085020952,0,0.007813752007668484,0,0,0
4,0.1700132017426718,0,0.011209469107537728,0,0,0
5,0.1806910270317246,0.010677825289052811,0,0,0,0
6,0.184052414487514,0.0033613874557893997,0,0,0,0
7,0.190234703697849,0.006182289210335007,0,0,0,0
8,0.168815435262205,0,0.021419268435644012,0,0,0
9,0.157111951079117,0,0.011703484183088003,0,0,0
10,0.170396872923389,0.013284921844272018,0,0,0,0
11,0.161562072015449,0,0.008834800907940005,0,0,0
12,0.161699324563346,0.00013725254789698216,0,0,0,0
13,0.15534024599226,0,0.006359078571085974,0,0,0
14,0.171994652205768,0.016654406213508,0,0,0,0
15,0.17,0,0.01,0.0,0.01,31.61
16,0.19,0.03,0,0.01,0.01,42.1
17,0.18,0,0.01,0.0,0.01,39.2
18,0.18,0,0.0,0.0,0.01,39.04
19,0.19,0.0,0,0.0,0.01,40.84
20,0.18,0,0.0,0.0,0.01,40.09
21,0.15,0,0.03,0.0,0.01,31.96
22,0.18,0.03,0,0.01,0.01,42.27
23,0.18,0.0,0,0.01,0.01,43.17
24,0.21,0.03,0,0.01,0.01,52.02
25,0.23,0.02,0,0.01,0.01,57.46
26,0.23,0,0.0,0.01,0.01,56.76
27,0.3,0.07,0,0.01,0.01,69.47
28,0.31,0.0,0,0.01,0.01,69.93
29,0.28,0,0.03,0.01,0.01,62.73
30,0.25,0,0.03,0.01,0.01,55.92
31,0.24,0,0.01,0.01,0.01,53.14
32,0.26,0.02,0,0.01,0.01,56.38
33,0.27,0.01,0,0.01,0.01,58.04
34,0.23,0,0.04,0.01,0.01,49.52
35,0.26,0.03,0,0.01,0.01,55.47
36,0.33,0.06,0,0.01,0.01,64.39
37,0.32,0,0.0,0.01,0.01,63.75
38,0.35,0.02,0,0.01,0.01,66.34
39,0.43,0.09,0,0.02,0.01,74.44
40,0.4,0,0.04,0.02,0.01,67.43
41,0.45,0.05,0,0.02,0.01,71.78
42,0.39,0,0.06,0.02,0.01,61.21
43,0.45,0.06,0,0.02,0.01,66.47
44,0.43,0,0.02,0.02,0.01,63.21
45,0.64,0.21,0,0.03,0.01,75.42
46,0.57,0,0.07,0.03,0.02,67.52
47,0.52,0,0.06,0.03,0.02,61.95
48,0.54,0.03,0,0.03,0.02,63.54
49,0.54,0,0.01,0.03,0.02,62.76
50,0.53,0,0.0,0.03,0.02,62.52
51,0.51,0,0.03,0.02,0.02,59.47
52,0.62,0.11,0,0.03,0.01,66.66
53,0.65,0.03,0,0.03,0.01,68.19
54,0.75,0.11,0,0.04,0.01,73.16
55,0.69,0,0.06,0.03,0.02,66.59
56,0.7,0.02,0,0.03,0.02,67.37
57,1.04,0.33,0,0.05,0.01,78.92
58,1.0,0,0.04,0.05,0.02,75.44
59,1.14,0.14,0,0.06,0.01,78.97
60,1.34,0.2,0,0.07,0.01,82.8
61,1.45,0.11,0,0.07,0.01,84.44
62,1.33,0,0.12,0.06,0.02,75.78
63,1.21,0,0.12,0.06,0.03,68.27
64,1.08,0,0.12,0.06,0.03,61.56
65,1.12,0.03,0,0.05,0.03,62.65
66,1.17,0.05,0,0.05,0.03,64.16
67,1.06,0,0.1,0.05,0.04,58.65
68,0.93,0,0.13,0.05,0.04,52.38
69,0.77,0,0.17,0.04,0.05,45.79
70,0.72,0,0.05,0.04,0.05,44.02
71,0.75,0.04,0,0.04,0.05,45.64
72,0.83,0.08,0,0.04,0.04,49.25
73,1.27,0.44,0,0.07,0.04,63.56
74,0.91,0,0.37,0.07,0.06,50.75
75,0.82,0,0.09,0.06,0.07,48.12
76,0.81,0,0.0,0.06,0.06,48.05
77,0.8,0,0.02,0.05,0.06,47.52
78,0.76,0,0.03,0.05,0.06,46.42
79,0.71,0,0.06,0.05,0.06,44.63
80,0.83,0.12,0,0.05,0.05,49.4
81,0.76,0,0.07,0.05,0.05,46.97
82,0.69,0,0.07,0.04,0.05,44.68
83,0.69,0,0.0,0.04,0.05,44.65
84,0.6,0,0.1,0.04,0.05,41.32
85,0.62,0.02,0,0.04,0.05,42.24
86,0.52,0,0.1,0.03,0.05,38.77
87,0.49,0,0.02,0.03,0.05,37.96
88,0.51,0.02,0,0.03,0.05,38.93
89,0.44,0,0.07,0.03,0.05,36.39
90,0.34,0,0.09,0.03,0.05,33.33
91,0.42,0.08,0,0.03,0.05,38.08
92,0.38,0,0.05,0.03,0.05,36.46
93,0.41,0.03,0,0.03,0.05,38.35
94,0.43,0.02,0,0.03,0.04,39.91
95,0.42,0,0.01,0.03,0.04,39.39
96,0.42,0.0,0,0.02,0.04,39.4
97,0.53,0.11,0,0.03,0.03,46.55
98,0.57,0.04,0,0.03,0.03,48.88
99,0.57,0.0,0,0.03,0.03,49.06
100,0.57,0,0.0,0.03,0.03,48.96
101,0.67,0.1,0,0.03,0.03,55.39
102,0.68,0.01,0,0.03,0.02,56.1
103,0.74,0.06,0,0.03,0.02,59.41
104,0.78,0.05,0,0.03,0.02,61.95
105,0.73,0,0.06,0.03,0.02,57.22
106,0.61,0,0.12,0.03,0.03,48.92
107,0.6,0,0.01,0.03,0.03,48.58
108,0.68,0.08,0,0.03,0.03,53.85
109,0.64,0,0.04,0.03,0.03,50.97
110,0.69,0.05,0,0.03,0.03,54.0
111,0.7,0.01,0,0.03,0.02,54.45
112,0.72,0.02,0,0.03,0.02,55.84
113,0.67,0,0.05,0.03,0.02,51.97
114,0.66,0,0.01,0.02,0.02,51.17
115,0.65,0,0.01,0.02,0.02,50.7
116,0.62,0,0.03,0.02,0.02,48.03
117,0.59,0,0.04,0.02,0.02,45.06
118,0.58,0,0.0,0.02,0.02,44.73
119,0.53,0,0.05,0.02,0.02,40.93
120,0.53,0,0.0,0.02,0.02,40.55
121,0.49,0,0.04,0.01,0.02,37.54
122,0.48,0,0.01,0.01,0.02,36.85
123,0.47,0,0.01,0.01,0.02,36.24
124,0.51,0.04,0,0.01,0.02,41.49
125,0.51,0.0,0,0.01,0.02,41.59
126,0.56,0.04,0,0.02,0.02,47.22
127,0.45,0,0.11,0.01,0.02,37.62
128,0.43,0,0.02,0.01,0.02,36.04
129,0.44,0.01,0,0.01,0.02,37.5
130,0.38,0,0.06,0.01,0.02,33.41
131,0.37,0,0.01,0.01,0.02,32.82
132,0.39,0.01,0,0.01,0.02,34.61
133,0.39,0.01,0,0.01,0.02,35.86
134,0.45,0.05,0,0.01,0.02,43.35
135,0.42,0,0.03,0.01,0.02,40.85
136,0.41,0,0.01,0.01,0.02,39.82
137,0.42,0.01,0,0.01,0.02,41.23
138,0.41,0,0.01,0.01,0.02,39.89
139,0.37,0,0.03,0.01,0.02,36.44
140,0.35,0,0.03,0.01,0.02,34.08
141,0.35,0.0,0,0.01,0.02,34.87
142,0.28,0,0.07,0.01,0.02,28.98
143,0.29,0.01,0,0.01,0.02,30.57
144,0.28,0,0.01,0.01,0.02,29.91
145,0.26,0,0.02,0.01,0.02,28.41
146,0.27,0.01,0,0.01,0.02,30.82
147,0.3,0.02,0,0.01,0.02,35.21
148,0.29,0,0.01,0.01,0.02,34.38
149,0.29,0,0.0,0.01,0.01,34.32
150,0.28,0,0.01,0.01,0.01,32.85
151,0.3,0.03,0,0.01,0.01,38.9
152,0.32,0.02,0,0.01,0.01,42.97
153,0.31,0,0.01,0.01,0.01,40.99
154,0.36,0.05,0,0.01,0.01,49.49
155,0.36,0.0,0,0.01,0.01,49.51
156,0.38,0.03,0,0.01,0.01,53.86
157,0.38,0,0.0,0.01,0.01,53.11
158,0.39,0.01,0,0.01,0.01,54.85
159,0.42,0.03,0,0.01,0.01,59.58
160,0.41,0,0.01,0.01,0.01,57.07
161,0.42,0.01,0,0.01,0.01,58.67
162,0.44,0.02,0,0.01,0.01,62.42
163,0.48,0.04,0,0.01,0.01,67.63
164,0.48,0,0.0,0.01,0.01,67.03
165,0.49,0.01,0,0.01,0.01,68.12
166,0.5,0.01,0,0.01,0.01,68.98
167,0.49,0,0.01,0.01,0.01,67.17
168,0.54,0.04,0,0.01,0.01,72.62
169,0.44,0,0.1,0.01,0.01,52.07
170,0.49,0.05,0,0.02,0.01,58.37
171,0.45,0,0.03,0.01,0.01,53.19
172,0.48,0.03,0,0.02,0.01,56.62
173,0.51,0.03,0,0.02,0.01,60.19
174,0.54,0.03,0,0.02,0.01,63.07
175,0.54,0.01,0,0.02,0.01,63.62
176,0.56,0.01,0,0.02,0.01,65.06
177,0.56,0,0.0,0.02,0.01,64.86
178,0.58,0.02,0,0.02,0.01,67.18
179,0.57,0,0.01,0.01,0.01,64.87
180,0.54,0,0.03,0.01,0.01,58.51
181,0.57,0.04,0,0.02,0.01,63.0
182,0.55,0,0.02,0.01,0.01,58.5
183,0.54,0,0.01,0.01,0.01,56.21
184,0.52,0,0.01,0.01,0.01,54.0
185,0.47,0,0.06,0.01,0.01,45.28
186,0.46,0,0.0,0.01,0.01,44.87
187,0.5,0.04,0,0.01,0.01,50.97
188,0.52,0.02,0,0.01,0.01,53.37
189,0.51,0,0.01,0.01,0.01,51.09
190,0.48,0,0.02,0.01,0.01,47.18
191,0.44,0,0.04,0.01,0.01,41.78
192,0.45,0.01,0,0.01,0.01,44.15
193,0.45,0,0.01,0.01,0.01,43.19
194,0.45,0.0,0,0.01,0.01,43.76
195,0.42,0,0.03,0.01,0.01,39.54
196,0.37,0,0.05,0.01,0.02,33.7
197,0.35,0,0.02,0.01,0.02,31.26
198,0.36,0.01,0,0.01,0.01,33.64
199,0.34,0,0.02,0.01,0.02,31.88
200,0.36,0.02,0,0.01,0.01,36.16
201,0.34,0,0.02,0.01,0.01,33.87
202,0.32,0,0.03,0.01,0.02,30.66
203,0.35,0.04,0,0.01,0.01,38.27
204,0.34,0,0.02,0.01,0.01,36.38
205,0.34,0.01,0,0.01,0.01,38.26
206,0.35,0.0,0,0.01,0.01,39.19
207,0.36,0.02,0,0.01,0.01,42.52
208,0.36,0,0.01,0.01,0.01,41.46
209,0.34,0,0.02,0.01,0.01,38.53
210,0.33,0,0.0,0.01,0.01,37.86
211,0.33,0,0.01,0.01,0.01,36.88
212,0.3,0,0.02,0.01,0.01,33.19
213,0.29,0,0.01,0.01,0.01,31.57
214,0.29,0.0,0,0.01,0.01,32.58
215,0.24,0,0.05,0.0,0.01,26.15
216,0.26,0.02,0,0.01,0.01,31.99
217,0.23,0,0.03,0.01,0.01,28.13
218,0.22,0,0.01,0.01,0.01,26.84
219,0.24,0.02,0,0.01,0.01,32.98
220,0.22,0,0.02,0.01,0.01,30.86
221,0.22,0,0.0,0.01,0.01,30.56
222,0.21,0,0.01,0.01,0.01,29.75
223,0.21,0,0.0,0.0,0.01,29.33
224,0.22,0.01,0,0.01,0.01,31.86
225,0.22,0.01,0,0.01,0.01,33.49
226,0.21,0,0.01,0.0,0.01,31.57
227,0.19,0,0.02,0.0,0.01,28.07
228,0.19,0.01,0,0.0,0.01,30.73
229,0.19,0,0.01,0.0,0.01,29.58
230,0.18,0,0.01,0.0,0.01,28.49
231,0.17,0,0.01,0.0,0.01,27.32
232,0.17,0,0.0,0.0,0.01,27.31
233,0.17,0,0.01,0.0,0.01,26.36
234,0.18,0.02,0,0.0,0.01,32.88
235,0.22,0.04,0,0.01,0.01,47.03
236,0.22,0,0.0,0.01,0.01,46.06
237,0.25,0.03,0,0.01,0.01,53.36
238,0.24,0,0.01,0.01,0.01,50.11
239,0.23,0,0.0,0.01,0.01,49.07
240,0.22,0,0.01,0.01,0.01,45.53
241,0.23,0.02,0,0.01,0.01,49.82
242,0.25,0.02,0,0.01,0.01,53.71
243,0.25,0,0.0,0.01,0.01,53.04
244,0.23,0,0.01,0.01,0.01,49.77
245,0.21,0,0.02,0.01,0.01,43.61
246,0.21,0,0.0,0.01,0.01,42.81
247,0.2,0,0.0,0.01,0.01,41.93
248,0.2,0,0.0,0.0,0.01,41.02
249,0.19,0,0.01,0.0,0.01,39.51
250,0.2,0.0,0,0.0,0.01,41.23
251,0.22,0.02,0,0.01,0.01,49.53
252,0.25,0.03,0,0.01,0.01,56.82
253,0.24,0,0.01,0.01,0.01,53.38
254,0.23,0,0.01,0.01,0.01,50.53
255,0.22,0,0.01,0.01,0.01,47.05
256,0.22,0.01,0,0.01,0.01,48.75
257,0.2,0,0.02,0.01,0.01,43.66
258,0.2,0,0.01,0.0,0.01,41.74
259,0.2,0.01,0,0.01,0.01,43.95
260,0.24,0.04,0,0.01,0.01,56.16
261,0.25,0.01,0,0.01,0.01,57.86
262,0.27,0.02,0,0.01,0.01,61.38
263,0.28,0.01,0,0.01,0.0,64.08
264,0.33,0.05,0,0.01,0.0,71.88
265,0.32,0,0.01,0.01,0.0,68.61
266,0.29,0,0.03,0.01,0.01,61.01
267,0.29,0,0.01,0.01,0.01,59.54
268,0.31,0.02,0,0.01,0.01,63.4
269,0.29,0,0.02,0.01,0.01,57.11
270,0.26,0,0.03,0.01,0.01,50.33
271,0.25,0,0.01,0.01,0.01,49.21
272,0.24,0,0.02,0.01,0.01,45.51
273,0.23,0,0.0,0.01,0.01,45.12
274,0.23,0,0.0,0.01,0.01,44.1
275,0.28,0.05,0,0.01,0.01,55.17
276,0.27,0,0.0,0.01,0.01,54.77
277,0.27,0,0.0,0.01,0.01,53.66
