date,close,gain,loss,avg_gain,avg_loss,rsi
148,19.63,0,0.32,0.4,0.53,43.26
149,20.58,0.95,0,0.44,0.49,47.38
150,21.86,1.29,0,0.5,0.46,52.43
151,23.63,1.76,0,0.59,0.42,58.34
152,23.71,0.09,0,0.56,0.39,58.62
153,25.55,1.84,0,0.65,0.36,63.99
154,25.38,0,0.17,0.6,0.35,63.16
155,26.08,0.7,0,0.61,0.33,65.12
156,25.54,0,0.53,0.56,0.34,62.38
157,27.58,2.04,0,0.67,0.32,67.93
158,27.92,0.34,0,0.65,0.29,68.75
159,26.79,0,1.13,0.6,0.35,62.92
160,26.84,0.05,0,0.56,0.33,63.08
161,24.88,0,1.96,0.52,0.44,53.95
162,25.71,0.83,0,0.54,0.41,56.8
163,25.27,0,0.44,0.5,0.41,54.87
164,25.59,0.32,0,0.49,0.38,56.04
165,23.88,0,1.71,0.46,0.48,48.74
166,23.0,0,0.88,0.42,0.51,45.44
167,21.66,0,1.34,0.39,0.57,40.91
168,20.16,0,1.51,0.36,0.63,36.51
169,17.49,0,2.66,0.34,0.78,30.3
170,15.88,0,1.61,0.31,0.84,27.28
171,16.58,0.69,0,0.34,0.78,30.49
172,15.65,0,0.93,0.32,0.79,28.67
173,15.57,0,0.09,0.29,0.74,28.5
174,15.3,0,0.26,0.27,0.71,27.95
175,15.2,0,0.1,0.25,0.66,27.74
176,16.16,0.96,0,0.3,0.61,33.12
177,16.25,0.08,0,0.29,0.57,33.59
178,17.81,1.57,0,0.38,0.53,41.76
179,17.28,0,0.53,0.35,0.53,39.97
180,17.08,0,0.21,0.33,0.51,39.26
181,16.49,0,0.58,0.3,0.51,37.26
