date,close,gain,loss,avg_gain,avg_loss,rsi
112,773.13,3.28,0,4.61,2.41,65.66
113,768.23,0,4.89,4.28,2.59,62.32
114,778.43,10.2,0,4.71,2.41,66.18
115,778.22,0,0.22,4.37,2.25,66.02
116,775.89,0,2.32,4.06,2.25,64.29
117,775.57,0,0.32,3.77,2.12,64.04
118,781.34,5.77,0,3.91,1.97,66.56
119,788.88,7.54,0,4.17,1.82,69.56
120,788.44,0,0.44,3.87,1.73,69.18
121,790.12,1.67,0,3.72,1.6,69.87
122,799.72,9.61,0,4.14,1.49,73.54
123,826.62,26.9,0,5.76,1.38,80.66
124,859.37,32.75,0,7.69,1.28,85.7
125,917.1,57.73,0,11.26,1.19,90.44
126,891.68,0,25.42,10.46,2.92,78.17
127,894.34,2.66,0,9.9,2.71,78.49
128,902.61,8.27,0,9.79,2.52,79.53
129,929.12,26.51,0,10.98,2.34,82.44
130,977.14,48.02,0,13.63,2.17,86.25
131,971.72,0,5.42,12.65,2.4,84.03
132,960.93,0,10.8,11.75,3.0,79.64
133,966.57,5.64,0,11.31,2.79,80.22
134,998.05,31.48,0,12.75,2.59,83.12
135,1019.2,21.15,0,13.35,2.4,84.74
136,1035.53,16.33,0,13.57,2.23,85.87
137,1130.85,95.32,0,19.41,2.07,90.35
138,990.67,0,140.18,18.02,11.94,60.15
139,894.03,0,96.63,16.73,17.99,48.19
140,900.08,6.05,0,15.97,16.7,48.88
141,908.09,8.01,0,15.4,15.51,49.82
142,901.88,0,6.21,14.3,14.85,49.06
143,905.76,3.88,0,13.56,13.79,49.58
144,784.28,0,121.48,12.59,21.48,36.95
145,799.43,15.15,0,12.77,19.94,39.04
146,824.5,25.07,0,13.65,18.52,42.43
147,817.83,0,6.67,12.67,17.67,41.76
148,821.91,4.09,0,12.06,16.41,42.36
149,828.31,6.4,0,11.66,15.24,43.34
150,904.15,75.84,0,16.24,14.15,53.44
151,873.93,0,30.22,15.08,15.3,49.64
152,896.89,22.96,0,15.64,14.21,52.41
153,891.46,0,5.43,14.53,13.58,51.69
154,919.68,28.22,0,15.5,12.61,55.15
155,918.78,0,0.9,14.4,11.77,55.01
156,918.91,0.13,0,13.38,10.93,55.03
157,885.79,0,33.12,12.42,12.52,49.81
158,893.47,7.68,0,12.08,11.62,50.97
159,915.36,21.89,0,12.78,10.79,54.22
160,918.29,2.93,0,12.08,10.02,54.66
161,920.25,1.96,0,11.36,9.31,54.96
162,914.14,0,6.1,10.55,9.08,53.74
163,920.99,6.85,0,10.28,8.43,54.95
164,968.27,47.28,0,12.92,7.83,62.28
165,986.57,18.31,0,13.31,7.27,64.68
166,1008.4,21.83,0,13.92,6.75,67.35
167,1015.44,7.04,0,13.43,6.27,68.18
168,1033.63,18.19,0,13.77,5.82,70.29
169,1016.93,0,16.7,12.78,6.6,65.96
170,1024.51,7.58,0,12.41,6.12,66.96
171,1051.5,26.99,0,13.45,5.69,70.29
